step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,action_FL_HAA,action_FR_HAA,action_HL_HAA,action_HR_HAA,action_FL_HFE,action_FR_HFE,action_HL_HFE,action_HR_HFE,action_FL_KFE,action_FR_KFE,action_HL_KFE,action_HR_KFE,action_HL_AFE,action_HR_AFE,target_FL_HAA,target_FR_HAA,target_HL_HAA,target_HR_HAA,target_FL_HFE,target_FR_HFE,target_HL_HFE,target_HR_HFE,target_FL_KFE,target_FR_KFE,target_HL_KFE,target_HR_KFE,target_HL_AFE,target_HR_AFE,joint_FL_HAA,joint_FR_HAA,joint_HL_HAA,joint_HR_HAA,joint_FL_HFE,joint_FR_HFE,joint_HL_HFE,joint_HR_HFE,joint_FL_KFE,joint_FR_KFE,joint_HL_KFE,joint_HR_KFE,joint_HL_AFE,joint_HR_AFE
0,-0.27301880717277527,0.39659956097602844,-0.02313409186899662,-0.26213306188583374,0.39065030217170715,0.07103601098060608,0.0,0.0,-1.0000003576278687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09876638650894165,-0.053141117095947266,0.2009543478488922,0.05510348081588745,-0.3084897994995117,0.11087405681610107,-0.19759345054626465,0.2802724838256836,0.816103994846344,-0.1716097593307495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.30703866481781006,-0.529374897480011,-0.4516755938529968,0.9129248261451721,-0.26031506061553955,0.17355948686599731,0.732006311416626,0.4907055199146271,0.8940803408622742,0.3243740200996399,-0.8392635583877563,-0.1523539274930954,0.4014647901058197,0.041368648409843445,-0.15351933240890503,-0.2646874487400055,-0.2258377969264984,0.45646241307258606,0.28004246950149536,0.4969797432422638,-0.33209681510925293,-0.4527472257614136,-0.8245598077774048,-1.1094130277633667,1.2563681602478027,1.599822998046875,-1.5211676359176636,-1.7012156248092651,-0.02249314822256565,-0.03658781945705414,-0.013260276056826115,0.009372555650770664,0.43979212641716003,0.3689282536506653,-0.4702024459838867,-0.595492959022522,-1.1476731300354004,-1.1376200914382935,1.4836877584457397,1.8797274827957153,-1.078282356262207,-1.8128082752227783
0,-0.12517991662025452,0.4171797037124634,-0.0917455404996872,0.38332295417785645,0.934589684009552,0.5036977529525757,0.014822866767644882,-0.0039009787142276764,-0.9998825192451477,-2.3013076782226562,1.769411563873291,0.0009129941463470459,-0.2614893913269043,-0.02249314822256565,-0.03658781945705414,-0.013260276056826115,0.009372555650770664,0.029592126607894897,-0.041271746158599854,0.2278975248336792,0.10260701179504395,0.12392687797546387,0.1339799165725708,-0.19231224060058594,0.20372748374938965,0.6436176300048828,-0.09090828895568848,-1.8659512996673584,-2.7673099040985107,-0.7165310978889465,1.196578025817871,-3.7319607734680176,1.1556304693222046,2.443168878555298,4.000081539154053,19.014806747436523,0.5065641403198242,-0.44450801610946655,-3.863663673400879,-4.044107437133789,-17.288719177246094,-0.30703866481781006,-0.529374897480011,-0.4516755938529968,0.9129248261451721,-0.26031506061553955,0.17355948686599731,0.732006311416626,0.4907055199146271,0.8940803408622742,0.3243740200996399,-0.8392635583877563,-0.1523539274930954,0.4014647901058197,0.041368648409843445,5.980000019073486,-0.6864997744560242,-0.06931773573160172,-0.875927746295929,0.13690079748630524,-0.18924878537654877,-0.44530540704727173,0.09230777621269226,-0.03811076283454895,0.6770120859146118,0.970524251461029,-1.143707513809204,-0.3351864814758301,0.522111713886261,-0.3871809244155884,-0.3432498872280121,-0.03465886786580086,-0.4379638731479645,0.06845039874315262,0.31557559967041016,0.18754729628562927,-0.6519460678100586,-0.7171553373336792,-0.9330939650535583,-0.7863378524780273,1.1041462421417236,1.5084067583084106,-1.4608441591262817,-1.9154903888702393,-0.080270916223526,-0.1048654094338417,-0.06728459894657135,-0.013957938179373741,0.43560028076171875,0.3765012323856354,-0.39819249510765076,-0.5249236226081848,-1.1834956407546997,-1.123266577720642,1.4429099559783936,1.7500907182693481,-1.2798871994018555,-1.86716628074646
0,-0.18604698777198792,0.4588364362716675,0.03769243136048317,2.2502636909484863,0.3415893018245697,0.32410773634910583,0.028963804244995117,-0.040179625153541565,-0.9987727403640747,-2.2888665199279785,1.7721372842788696,0.0009425581083633006,-0.26676106452941895,-0.080270916223526,-0.1048654094338417,-0.06728459894657135,-0.013957938179373741,0.025400280952453613,-0.03369876742362976,0.29990747570991516,0.1731763482093811,0.08810436725616455,0.14833343029022217,-0.23309004306793213,0.07409071922302246,0.4420127868652344,-0.14526629447937012,-3.441851854324341,-3.5433785915374756,-3.0211422443389893,-1.4414116144180298,-0.8770955801010132,1.4079442024230957,3.8816375732421875,3.723832607269287,-0.24069857597351074,-3.4780027866363525,-2.75412654876709,-5.454843521118164,-10.93426513671875,-18.126319885253906,-0.6864997744560242,-0.06931773573160172,-0.875927746295929,0.13690079748630524,-0.18924878537654877,-0.44530540704727173,0.09230777621269226,-0.03811076283454895,0.6770120859146118,0.970524251461029,-1.143707513809204,-0.3351864814758301,0.522111713886261,-0.3871809244155884,5.960000038146973,-0.6899130940437317,-0.3449574410915375,-0.7325108647346497,0.22229887545108795,-0.21675695478916168,-0.5641488432884216,0.12604063749313354,0.012306850403547287,0.7949785590171814,1.1004515886306763,-1.2086920738220215,-0.5457828044891357,0.4057004153728485,-0.22147458791732788,-0.34495654702186584,-0.17247872054576874,-0.36625543236732483,0.11114943772554398,0.3018215298652649,0.12812557816505432,-0.6350796222686768,-0.6919465661048889,-0.8741106986999512,-0.7213742136955261,1.071653962135315,1.4031085968017578,-1.5190497636795044,-1.8326373100280762,-0.1547514945268631,-0.18250831961631775,-0.12915098667144775,-0.04411638528108597,0.3875032961368561,0.35829123854637146,-0.3266763985157013,-0.46696415543556213,-1.1263012886047363,-1.105595350265503,1.375756859779358,1.6040925979614258,-1.3972166776657104,-1.850342035293579
0,-0.34625640511512756,0.5019063353538513,0.11720480769872665,2.5202972888946533,-0.2035059928894043,0.5302558541297913,0.030262473970651627,-0.0902954488992691,-0.9954547882080078,-2.269190549850464,1.7796618938446045,-0.00189208984375,-0.27459096908569336,-0.1547514945268631,-0.18250831961631775,-0.12915098667144775,-0.04411638528108597,-0.022696703672409058,-0.05190876126289368,0.3714235723018646,0.23113581538200378,0.14529871940612793,0.16600465774536133,-0.3002431392669678,-0.0719074010848999,0.3246833086013794,-0.12844204902648926,-3.805863618850708,-4.015284538269043,-2.9784674644470215,-0.9947530627250671,-2.6465954780578613,-0.7729802131652832,3.253471851348877,2.926712989807129,3.645965814590454,1.2421436309814453,-3.16064190864563,-5.522115230560303,-4.96805477142334,-18.965959548950195,-0.6899130940437317,-0.3449574410915375,-0.7325108647346497,0.22229887545108795,-0.21675695478916168,-0.5641488432884216,0.12604063749313354,0.012306850403547287,0.7949785590171814,1.1004515886306763,-1.2086920738220215,-0.5457828044891357,0.4057004153728485,-0.22147458791732788,5.940000057220459,-0.5856825709342957,-0.29848429560661316,-0.7772269248962402,0.18119457364082336,-0.054796669632196426,-0.33209139108657837,0.31540873646736145,0.2350708544254303,0.8671715259552002,0.9927189946174622,-1.345636010169983,-0.6458163857460022,0.3493594527244568,-0.20103567838668823,-0.2928412854671478,-0.14924214780330658,-0.3886134624481201,0.09059728682041168,0.3828016519546509,0.24415430426597595,-0.5403956174850464,-0.580564558506012,-0.8380142450332642,-0.7752405405044556,1.0031819343566895,1.353091835975647,-1.547220230102539,-1.8224178552627563,-0.2205999195575714,-0.25235965847969055,-0.18457680940628052,-0.09455445408821106,0.32580429315567017,0.31686216592788696,-0.26630574464797974,-0.4399784505367279,-1.0343347787857056,-1.0383408069610596,1.3177496194839478,1.552943229675293,-1.4894559383392334,-1.826392650604248
0,-0.40615904331207275,0.5821561217308044,0.1391412913799286,1.678323745727539,-0.24859210848808289,0.3414856195449829,0.024354971945285797,-0.131613627076149,-0.9910019040107727,-2.2495338916778564,1.7834986448287964,-0.0062226057052612305,-0.2813432216644287,-0.2205999195575714,-0.25235965847969055,-0.18457680940628052,-0.09455445408821106,-0.08439570665359497,-0.09333783388137817,0.4317942261695862,0.258121520280838,0.2372652292251587,0.2332592010498047,-0.35825037956237793,-0.12305676937103271,0.23244404792785645,-0.1044926643371582,-2.8943729400634766,-3.074129819869995,-2.43196177482605,-2.6711032390594482,-3.050119400024414,-2.551629066467285,2.6579060554504395,0.9980514049530029,4.490912914276123,4.1957173347473145,-2.6428520679473877,-0.5731721520423889,-4.155269145965576,-8.00022029876709,-0.5856825709342957,-0.29848429560661316,-0.7772269248962402,0.18119457364082336,-0.054796669632196426,-0.33209139108657837,0.31540873646736145,0.2350708544254303,0.8671715259552002,0.9927189946174622,-1.345636010169983,-0.6458163857460022,0.3493594527244568,-0.20103567838668823,5.920000076293945,-0.5855700373649597,-0.6800488233566284,-0.7069476246833801,0.2060326188802719,0.1028791069984436,-0.283597469329834,0.46338069438934326,0.4811326861381531,0.8523074388504028,1.021376132965088,-1.5522466897964478,-0.6996244788169861,0.2311238795518875,-0.10648205131292343,-0.29278501868247986,-0.3400244116783142,-0.35347381234169006,0.10301630944013596,0.46163955330848694,0.26840126514434814,-0.4664096236228943,-0.4575336277484894,-0.8454462885856628,-0.7609119415283203,0.8998766541481018,1.3261877298355103,-1.6063380241394043,-1.7751410007476807,-0.27071309089660645,-0.30530786514282227,-0.22162090241909027,-0.13547073304653168,0.2772436738014221,0.25873002409935,-0.21173697710037231,-0.40760862827301025,-0.9687514305114746,-0.9436820149421692,1.252521276473999,1.5061134099960327,-1.5682179927825928,-1.8412145376205444
0,-0.3550198972225189,0.5905539989471436,0.10024479031562805,0.9240813255310059,0.12642313539981842,0.46064791083335876,0.022575385868549347,-0.15567725896835327,-0.9875495433807373,-2.227410078048706,1.7903125286102295,-0.010719478130340576,-0.2895948886871338,-0.27071309089660645,-0.30530786514282227,-0.22162090241909027,-0.13547073304653168,-0.13295632600784302,-0.15146997570991516,0.4863629937171936,0.29049134254455566,0.30284857749938965,0.32791799306869507,-0.42347872257232666,-0.16988658905029297,0.15368199348449707,-0.11931455135345459,-2.2610228061676025,-2.395974636077881,-1.5257710218429565,-1.759864091873169,-1.9694857597351074,-3.0195164680480957,2.561434030532837,1.9462895393371582,1.981425166130066,4.842801570892334,-3.382309675216675,-2.887788772583008,-3.643496513366699,-1.5878801345825195,-0.5855700373649597,-0.6800488233566284,-0.7069476246833801,0.2060326188802719,0.1028791069984436,-0.283597469329834,0.46338069438934326,0.4811326861381531,0.8523074388504028,1.021376132965088,-1.5522466897964478,-0.6996244788169861,0.2311238795518875,-0.10648205131292343,5.900000095367432,-0.8304955959320068,-0.5683004260063171,-0.5883657932281494,0.2745402753353119,-0.046522099524736404,-0.30600225925445557,0.5994327068328857,0.5034638047218323,0.9700546264648438,1.0566990375518799,-1.555537223815918,-0.7383749485015869,0.11293622851371765,0.053825534880161285,-0.4152477979660034,-0.28415021300315857,-0.2941828966140747,0.13727013766765594,0.3869389593601227,0.25719887018203735,-0.39838361740112305,-0.4463680684566498,-0.7865726947784424,-0.7432504892349243,0.8982313871383667,1.3068125247955322,-1.6654318571090698,-1.694987177848816,-0.308918833732605,-0.34288448095321655,-0.2419310063123703,-0.15976682305335999,0.24356938898563385,0.19757305085659027,-0.16140760481357574,-0.37811970710754395,-0.9470856785774231,-0.8464826345443726,1.1770318746566772,1.4455549716949463,-1.6356885433197021,-1.8474522829055786
0,-0.3345796465873718,0.5654749870300293,0.05797862261533737,0.29209238290786743,0.3814546465873718,0.5028262734413147,0.02693203091621399,-0.16563045978546143,-0.9858196973800659,-2.2013449668884277,1.8026909828186035,-0.014325559139251709,-0.3002932071685791,-0.308918833732605,-0.34288448095321655,-0.2419310063123703,-0.15976682305335999,-0.1666306108236313,-0.21262694895267487,0.5366923809051514,0.319980263710022,0.32451432943344116,0.4251173734664917,-0.49896812438964844,-0.2304450273513794,0.0862114429473877,-0.12555229663848877,-1.7299169301986694,-1.4089514017105103,-0.7900943756103516,-0.9865261316299438,-1.2785961627960205,-2.8947298526763916,2.346123695373535,1.1439993381500244,0.22775939106941223,4.779658317565918,-3.78645658493042,-3.038426637649536,-3.1320769786834717,0.2466435432434082,-0.8304955959320068,-0.5683004260063171,-0.5883657932281494,0.2745402753353119,-0.046522099524736404,-0.30600225925445557,0.5994327068328857,0.5034638047218323,0.9700546264648438,1.0566990375518799,-1.555537223815918,-0.7383749485015869,0.11293622851371765,0.053825534880161285,5.880000114440918,-1.1247233152389526,-0.4386041760444641,-0.3951758146286011,0.3708578646183014,-0.279708594083786,-0.30185985565185547,0.6948732137680054,0.654858410358429,1.1824190616607666,0.9757809042930603,-1.4586918354034424,-0.8254521489143372,0.008136268705129623,0.20564928650856018,-0.5623616576194763,-0.21930208802223206,-0.19758790731430054,0.1854289323091507,0.27034568786621094,0.2592700719833374,-0.35066336393356323,-0.37067076563835144,-0.680390477180481,-0.7837095260620117,0.9466540813446045,1.2632739543914795,-1.7178318500518799,-1.6190752983093262,-0.3348735570907593,-0.33740243315696716,-0.24470534920692444,-0.16554154455661774,0.21621054410934448,0.1618228554725647,-0.12427757680416107,-0.3596884310245514,-0.9371388554573059,-0.8145992159843445,1.1135390996932983,1.3952655792236328,-1.6902159452438354,-1.8332828283309937
0,-0.3436746299266815,0.534348726272583,0.08495339006185532,-0.40354564785957336,0.2049814611673355,0.7454047203063965,0.030307099223136902,-0.16223116219043732,-0.9862871766090393,-2.169501781463623,1.8225040435791016,-0.01781100034713745,-0.3141343593597412,-0.3348735570907593,-0.33740243315696716,-0.24470534920692444,-0.16554154455661774,-0.19398945569992065,-0.24837714433670044,0.5738223791122437,0.3384115397930145,0.33446115255355835,0.4570007920265198,-0.5624608993530273,-0.28073441982269287,0.031684041023254395,-0.11138284206390381,-1.1196423768997192,1.1320165395736694,0.101410411298275,0.004645318724215031,-1.2801181077957153,-1.2711092233657837,1.432952642440796,0.7789778709411621,0.5024927258491516,1.1353812217712402,-2.58975887298584,-2.38985538482666,-2.4301347732543945,1.0896129608154297,-1.1247233152389526,-0.4386041760444641,-0.3951758146286011,0.3708578646183014,-0.279708594083786,-0.30185985565185547,0.6948732137680054,0.654858410358429,1.1824190616607666,0.9757809042930603,-1.4586918354034424,-0.8254521489143372,0.008136268705129623,0.20564928650856018,5.860000133514404,-1.2930748462677002,-0.37647873163223267,-0.44721710681915283,0.30384907126426697,-0.4696427583694458,-0.26003497838974,0.7014160752296448,0.8681066632270813,1.2968829870224,0.7926444411277771,-1.36422860622406,-0.9121270775794983,-0.02369130775332451,0.28216513991355896,-0.6465374231338501,-0.18823936581611633,-0.22360855340957642,0.15192453563213348,0.17537862062454224,0.28018251061439514,-0.34739193320274353,-0.26404663920402527,-0.6231585144996643,-0.8752777576446533,0.9938856959342957,1.219936490058899,-1.7337456941604614,-1.580817461013794,-0.3573492467403412,-0.29588228464126587,-0.23722703754901886,-0.15951122343540192,0.1782909333705902,0.16168220341205597,-0.11606477946043015,-0.3389069139957428,-0.900738537311554,-0.8655489683151245,1.0871751308441162,1.3553591966629028,-1.7258756160736084,-1.8193857669830322
0,-0.36352774500846863,0.5386936664581299,0.11589254438877106,-0.5183762311935425,-0.030806586146354675,1.100968837738037,0.028282806277275085,-0.1525745987892151,-0.9878871440887451,-2.1266231536865234,1.8542828559875488,-0.021777989342808723,-0.33363914489746094,-0.3573492467403412,-0.29588228464126587,-0.23722703754901886,-0.15951122343540192,-0.23190906643867493,-0.24851779639720917,0.5820351839065552,0.3591930568218231,0.3708614706993103,0.40605103969573975,-0.5888248682022095,-0.32064080238342285,-0.003975629806518555,-0.09748578071594238,-1.1720085144042969,2.5096285343170166,0.4512031674385071,0.3847881257534027,-2.0285627841949463,0.32341235876083374,-0.17976956069469452,1.1261897087097168,2.231235980987549,-1.1994032859802246,-0.5502244234085083,-2.0425868034362793,-1.4075849056243896,0.7914801836013794,-1.2930748462677002,-0.37647873163223267,-0.44721710681915283,0.30384907126426697,-0.4696427583694458,-0.26003497838974,0.7014160752296448,0.8681066632270813,1.2968829870224,0.7926444411277771,-1.36422860622406,-0.9121270775794983,-0.02369130775332451,0.28216513991355896,5.840000152587891,-1.08873450756073,-0.4167368710041046,-0.7095432877540588,0.13785965740680695,-0.44552749395370483,-0.22120286524295807,0.6707181334495544,0.9710174202919006,1.2807819843292236,0.6751542687416077,-1.378270149230957,-0.8976945281028748,0.060083914548158646,0.22973108291625977,-0.544367253780365,-0.2083684355020523,-0.3547716438770294,0.06892982870340347,0.18743625283241272,0.2995985746383667,-0.3627409040927887,-0.2125912606716156,-0.6312090158462524,-0.9340229034423828,0.9868649244308472,1.227152705192566,-1.6918580532073975,-1.60703444480896,-0.3888229429721832,-0.24825257062911987,-0.23177088797092438,-0.15561425685882568,0.1283034086227417,0.18361905217170715,-0.13759146630764008,-0.31372860074043274,-0.838599443435669,-0.9196048378944397,1.0917328596115112,1.3228833675384521,-1.7362927198410034,-1.815839409828186
0,-0.35120999813079834,0.5578016638755798,0.07691206783056259,-0.1253189742565155,0.03381939232349396,1.318269968032837,0.024422697722911835,-0.14811763167381287,-0.988667905330658,-2.073329210281372,1.8955265283584595,-0.025494279339909554,-0.3582937717437744,-0.3888229429721832,-0.24825257062911987,-0.23177088797092438,-0.15561425685882568,-0.28189659118652344,-0.22658094763755798,0.5605084896087646,0.3843713700771332,0.4330005645751953,0.35199517011642456,-0.5842671394348145,-0.35311663150787354,-0.014392733573913574,-0.09393942356109619,-1.7591221332550049,2.2960221767425537,0.17168132960796356,0.10444594919681549,-2.648620367050171,1.2560796737670898,-1.5247668027877808,1.2912240028381348,3.3491740226745605,-1.397188663482666,0.6401746273040771,-1.749182939529419,-0.16495032608509064,0.21413883566856384,-1.08873450756073,-0.4167368710041046,-0.7095432877540588,0.13785965740680695,-0.44552749395370483,-0.22120286524295807,0.6707181334495544,0.9710174202919006,1.2807819843292236,0.6751542687416077,-1.378270149230957,-0.8976945281028748,0.060083914548158646,0.22973108291625977,5.820000171661377,-0.5555932521820068,-0.598092257976532,-1.1345102787017822,-0.07103341817855835,-0.26340073347091675,-0.2467561513185501,0.6306449770927429,0.9258294701576233,1.069522738456726,0.8102723360061646,-1.529865026473999,-0.7651283144950867,0.21455444395542145,0.09694386273622513,-0.2777966260910034,-0.299046128988266,-0.5672551393508911,-0.035516709089279175,0.27849963307380676,0.2868219316005707,-0.38277748227119446,-0.23518523573875427,-0.7368386387825012,-0.866463840007782,0.9110674858093262,1.29343581199646,-1.614622712135315,-1.6734280586242676,-0.4257982671260834,-0.23353229463100433,-0.24075815081596375,-0.16688169538974762,0.09427317976951599,0.20503883063793182,-0.1715703159570694,-0.299491286277771,-0.7997993230819702,-0.9201297760009766,1.0961819887161255,1.301632285118103,-1.7258703708648682,-1.8140208721160889
