step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,FL_HAA,FR_HAA,HL_HAA,HR_HAA,FL_HFE,FR_HFE,HL_HFE,HR_HFE,FL_KFE,FR_KFE,HL_KFE,HR_KFE,HL_AFE,HR_AFE
0,0.3818769156932831,-0.5482427477836609,-0.09894535690546036,-0.03353133052587509,0.2646946609020233,0.09936941415071487,-1.4847144846896754e-08,1.2676375504838688e-09,-1.0,1.665871500968933,-1.440598726272583,0.0,2.5831191539764404,0.0,0.0,0.0,0.0,0.018453449010849,-0.15340694785118103,0.2818003296852112,0.23022034764289856,-0.3225816488265991,-0.49010658264160156,0.8108338117599487,0.19090032577514648,0.663101315498352,-0.1855248212814331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.016490941867232323,-0.021849440410733223,-0.07054147124290466,-0.005830805283039808,0.3517979085445404,0.25434741377830505,-0.42413339018821716,-0.4403549134731293,-1.1797702312469482,-1.371351957321167,2.4852490425109863,1.8081320524215698,-1.3848705291748047,-1.926554560661316
0,0.45777249336242676,-0.5070176124572754,-0.1371486634016037,0.9367609620094299,0.9490090608596802,0.3073083162307739,0.012875337153673172,-0.013247215189039707,-0.9998292326927185,1.6508593559265137,-1.4383939504623413,0.002342015504837036,2.5783655643463135,-0.016490941867232323,-0.021849440410733223,-0.07054147124290466,-0.005830805283039808,-0.05840209126472473,-0.15585258603096008,0.27396658062934875,0.25774505734443665,0.09182977676391602,-0.09975194931030273,0.8092490434646606,0.13213205337524414,0.33702945709228516,-0.20465457439422607,-1.2723262310028076,-1.3024122714996338,-4.78043270111084,-0.15815553069114685,-4.034971714019775,1.1285324096679688,-0.8889710307121277,1.907080054283142,14.685853004455566,17.076068878173828,-2.0052034854888916,-4.685507774353027,-7.954013347625732,2.3437464237213135,-0.07957202196121216,0.009329736232757568,-1.4551818370819092,0.5502564907073975,-0.5383111834526062,0.45221132040023804,0.10586661845445633,0.5593403577804565,0.7184702754020691,0.6101782321929932,-0.2569809854030609,-0.19519926607608795,0.17209376394748688,-0.4781137704849243,5.980000019073486,-0.04286400228738785,-0.049159158021211624,-0.22091110050678253,-0.039189863950014114,0.31054604053497314,0.29735228419303894,-0.4374820291996002,-0.40022042393684387,-1.088836908340454,-1.226859450340271,2.400102376937866,1.6981431245803833,-1.4886212348937988,-1.9377765655517578
0,0.45326030254364014,-0.5338413715362549,-0.016944341361522675,2.9664084911346436,0.49756771326065063,-0.14993616938591003,0.030238907784223557,-0.05575232952833176,-0.9979864954948425,1.6395021677017212,-1.4312384128570557,0.004928797483444214,2.5767552852630615,-0.04286400228738785,-0.049159158021211624,-0.22091110050678253,-0.039189863950014114,-0.09965395927429199,-0.1128477156162262,0.2606179416179657,0.29787954688072205,0.18276309967041016,0.04474055767059326,0.7241023778915405,0.022143125534057617,0.23327875137329102,-0.21587657928466797,-1.8902130126953125,-1.8862688541412354,-8.820014953613281,-2.754434823989868,0.7252465486526489,2.9102017879486084,-0.6662853956222534,1.8279423713684082,-0.2700223922729492,-5.377552509307861,-7.261408805847168,-5.827268600463867,16.69672203063965,5.691216945648193,-0.4574887156486511,0.36304861307144165,-1.1814268827438354,0.20318496227264404,-0.6491290330886841,0.003514893352985382,0.0790540799498558,0.4322662949562073,1.0970427989959717,0.6075078845024109,-0.08956460654735565,-0.2830688953399658,-0.019627440720796585,-0.506019651889801,5.960000038146973,-0.058823708444833755,-0.06498444825410843,-0.3374268412590027,-0.045025359839200974,0.29813411831855774,0.35385048389434814,-0.4249240756034851,-0.36398744583129883,-1.02219557762146,-1.3002314567565918,2.2401864528656006,1.6196112632751465,-1.5240005254745483,-1.9525638818740845
0,0.3200695514678955,-0.6307007670402527,0.09590186178684235,1.450063943862915,-0.4169284403324127,-0.0012163836508989334,0.026051165536046028,-0.0963834896683693,-0.9950032234191895,1.6344542503356934,-1.416752815246582,0.004896640777587891,2.5785915851593018,-0.058823708444833755,-0.06498444825410843,-0.3374268412590027,-0.045025359839200974,-0.1120658814907074,-0.05634951591491699,0.2731758952140808,0.3341125249862671,0.2494044303894043,-0.02863144874572754,0.5641864538192749,-0.0563887357711792,0.1978994607925415,-0.23066389560699463,-0.2744711637496948,-0.1593928039073944,-3.8570685386657715,1.1025335788726807,-2.226019859313965,1.9580937623977661,0.2780887484550476,1.2112170457839966,6.044722080230713,-1.6727256774902344,-11.177821159362793,-4.099051475524902,22.995363235473633,13.347569465637207,-0.2541816830635071,0.32024258375167847,-0.8549492955207825,0.4569430947303772,-0.8239051699638367,-0.04976554960012436,0.2872171401977539,0.5436301827430725,1.1721813678741455,0.7086493372917175,-0.125763937830925,-0.1621769815683365,-0.04796035960316658,-0.5726263523101807,5.940000057220459,-0.060339391231536865,-0.06515362858772278,-0.4020618796348572,-0.01563987135887146,0.24071334302425385,0.38538670539855957,-0.3938923478126526,-0.3263930380344391,-0.8632659316062927,-1.3043699264526367,2.0298640727996826,1.566750407218933,-1.6248382329940796,-2.01910138130188
0,0.23400765657424927,-0.6012690663337708,0.1062237024307251,1.268237590789795,-1.0296345949172974,-0.0022088484838604927,0.008717719465494156,-0.1219879612326622,-0.9924931526184082,1.6288490295410156,-1.4040607213974,0.004183351993560791,2.5786664485931396,-0.060339391231536865,-0.06515362858772278,-0.4020618796348572,-0.01563987135887146,-0.1694866567850113,-0.024813294410705566,0.30420762300491333,0.37170693278312683,0.40833407640457153,-0.03276991844177246,0.35386407375335693,-0.10924959182739258,0.09706175327301025,-0.29720139503479004,-0.0829254612326622,0.043161097913980484,-3.130087375640869,-0.6889941096305847,-3.3277511596679688,1.5351011753082275,1.6059778928756714,2.0984292030334473,9.148885726928711,0.047423675656318665,-12.810831069946289,0.7101051807403564,13.241941452026367,-8.408370971679688,-0.3497661352157593,0.10824163258075714,-1.0886503458023071,0.3176443576812744,-0.6138520240783691,-0.009985290467739105,0.18821577727794647,0.6181742548942566,1.1742186546325684,0.7183221578598022,-0.0842290073633194,-0.3804260492324829,-0.1963573545217514,-0.626352071762085,5.920000076293945,-0.05263987183570862,-0.04642810672521591,-0.4423687160015106,0.0038552978076040745,0.16559675335884094,0.4042876958847046,-0.3605250120162964,-0.27950724959373474,-0.7348279356956482,-1.2823586463928223,1.7955694198608398,1.6103416681289673,-1.6315155029296875,-2.0815112590789795
0,0.1531333327293396,-0.5665761828422546,0.05043523758649826,-0.23068669438362122,-1.0571467876434326,0.1826455146074295,-0.012366126291453838,-0.1270795613527298,-0.991815447807312,1.6255278587341309,-1.3914231061935425,0.004135668743401766,2.5792553424835205,-0.05263987183570862,-0.04642810672521591,-0.4423687160015106,0.0038552978076040745,-0.2446032464504242,-0.005912303924560547,0.33757495880126953,0.4185927212238312,0.5367720723152161,-0.010758638381958008,0.11956942081451416,-0.0656583309173584,0.09038448333740234,-0.35961127281188965,0.4209764003753662,1.3503973484039307,-1.4674128293991089,1.609770655632019,-3.8707528114318848,0.5649300217628479,1.0874552726745605,2.6432278156280518,3.968801498413086,1.8072303533554077,-12.324507713317871,1.1017155647277832,14.48245906829834,-5.407474517822266,-0.35299253463745117,0.13846653699874878,-1.028186559677124,0.166686549782753,-0.7119688987731934,0.181423157453537,0.21209242939949036,0.531667172908783,1.1858755350112915,0.7195655703544617,-0.021291716024279594,-0.527739942073822,-0.10775935649871826,-0.7324813604354858,5.900000095367432,-0.04045809060335159,-0.004886933136731386,-0.4421384930610657,0.056165602058172226,0.0936521589756012,0.40941089391708374,-0.35934826731681824,-0.23365192115306854,-0.674997091293335,-1.2317007780075073,1.725414752960205,1.6377060413360596,-1.6556116342544556,-2.1428382396698
0,0.10527922213077545,-0.5844122767448425,-0.06015312671661377,-1.3538237810134888,-1.2485932111740112,0.3492465615272522,-0.0366186797618866,-0.10649441927671432,-0.9936387538909912,1.6201170682907104,-1.3832110166549683,0.005765349138528109,2.5773251056671143,-0.04045809060335159,-0.004886933136731386,-0.4421384930610657,0.056165602058172226,-0.31654784083366394,-0.0007891058921813965,0.3387517035007477,0.4644480347633362,0.5966029167175293,0.039899230003356934,0.049414753913879395,-0.03829395771026611,0.06628835201263428,-0.42093825340270996,0.5639499425888062,2.380251407623291,2.850935220718384,3.176044225692749,-3.3193817138671875,0.08612098544836044,-1.1233373880386353,2.219899892807007,1.40800940990448,2.9976725578308105,4.43477201461792,1.7941124439239502,-5.863300323486328,-3.0818164348602295,-0.26485854387283325,0.1061122715473175,-1.0804555416107178,0.06330767273902893,-0.5980308651924133,0.2711979150772095,0.3032451570034027,0.4763723909854889,1.2652027606964111,0.7322745323181152,-0.15725018084049225,-0.5123363137245178,-0.16035659611225128,-0.7324690222740173,5.880000114440918,-0.05471745505928993,0.03283252939581871,-0.41701099276542664,0.09994228929281235,0.050427500158548355,0.41699743270874023,-0.3260940909385681,-0.20254094898700714,-0.7156230807304382,-1.1891577243804932,1.7638800144195557,1.6763830184936523,-1.7020632028579712,-2.184492349624634
0,0.219692662358284,-0.49630340933799744,-0.05355386435985565,-0.5711471438407898,-0.9976596236228943,-0.13135218620300293,-0.05853239819407463,-0.09027861058712006,-0.994194746017456,1.618406057357788,-1.3699254989624023,0.007657439447939396,2.5789988040924072,-0.05471745505928993,0.03283252939581871,-0.41701099276542664,0.09994228929281235,-0.3597725033760071,0.006797432899475098,0.3720058798789978,0.49555903673171997,0.555976927280426,0.0824422836303711,0.08788001537322998,0.00038301944732666016,0.019836783409118652,-0.46259236335754395,-1.347090244293213,1.6955454349517822,0.8977614641189575,1.7239348888397217,-1.798742413520813,0.5494629144668579,3.1879639625549316,1.1719369888305664,-1.0220345258712769,1.5860015153884888,0.6281896829605103,1.9214478731155396,-3.7313103675842285,-1.4555864334106445,-0.28813594579696655,0.12357668578624725,-1.0850310325622559,-0.025344204157590866,-0.5997462272644043,0.4383944869041443,0.8614335656166077,0.5669010877609253,1.1034300327301025,0.783347487449646,-0.5525580048561096,-0.45314428210258484,-0.12160491943359375,-0.6399699449539185,5.860000133514404,-0.0825408324599266,0.06939910352230072,-0.39944228529930115,0.13169778883457184,0.025859778746962547,0.4283532500267029,-0.24525737762451172,-0.1881185919046402,-0.6988327503204346,-1.1667585372924805,1.7509640455245972,1.7084509134292603,-1.7881598472595215,-2.1973013877868652
0,0.29417359828948975,-0.4451894760131836,-0.056235458701848984,-0.7523772716522217,-0.5747063159942627,-0.3790583908557892,-0.07271111011505127,-0.07685846090316772,-0.9943870902061462,1.6223019361495972,-1.3491572141647339,0.009149492718279362,2.586042642593384,-0.0825408324599266,0.06939910352230072,-0.39944228529930115,0.13169778883457184,-0.38434022665023804,0.018153250217437744,0.4528425931930542,0.5099813938140869,0.5727672576904297,0.10484147071838379,0.07496404647827148,0.03245091438293457,-0.06625986099243164,-0.4754014015197754,-1.3836184740066528,1.9253027439117432,0.8770783543586731,1.4797074794769287,-0.7496964931488037,0.5815739631652832,4.245044231414795,0.4393802881240845,0.39327749609947205,0.7674205899238586,-1.1039484739303589,1.3089197874069214,-4.472811698913574,-0.06917767971754074,-0.2116883248090744,0.10422062873840332,-0.9228308200836182,0.12826940417289734,-0.5291441082954407,0.46861541271209717,0.6390403509140015,0.5823944807052612,1.192923665046692,0.7961963415145874,-0.5426779389381409,-0.49451780319213867,-0.210631862282753,-0.6264182329177856,5.840000152587891,-0.10425691306591034,0.11098133772611618,-0.3785650432109833,0.1622750610113144,0.020350191742181778,0.4436255395412445,-0.17063075304031372,-0.18512427806854248,-0.6611347198486328,-1.1664810180664062,1.7230513095855713,1.7269978523254395,-1.856627106666565,-2.189549207687378
0,0.33308812975883484,-0.4046555161476135,-0.10595882683992386,-1.0247145891189575,-0.13076800107955933,-0.45412352681159973,-0.07799927145242691,-0.05876168981194496,-0.995219886302948,1.6276516914367676,-1.326068639755249,0.010964424349367619,2.5949976444244385,-0.10425691306591034,0.11098133772611618,-0.3785650432109833,0.1622750610113144,-0.38984981179237366,0.03342553973197937,0.5274692177772522,0.5129756927490234,0.6104652881622314,0.10511898994445801,0.047051310539245605,0.05099785327911377,-0.1347271203994751,-0.4676492214202881,-0.9144415855407715,2.1988322734832764,1.1581120491027832,1.5123592615127563,0.1609310507774353,0.8134530782699585,3.276339292526245,-0.01157422736287117,1.057318091392517,-0.4731020927429199,-1.3580189943313599,0.6731120347976685,-2.9774539470672607,0.6702004075050354,-0.14782486855983734,-0.02367641031742096,-0.8753143548965454,0.2926199734210968,-0.5019345879554749,0.537575364112854,0.5391697883605957,0.6147060990333557,1.2881641387939453,0.6918333768844604,-0.43180781602859497,-0.47422629594802856,-0.3486233949661255,-0.6497697234153748,5.820000171661377,-0.07601156085729599,0.14558178186416626,-0.36670809984207153,0.18122825026512146,0.044431351125240326,0.4661949872970581,-0.11458856612443924,-0.18731918931007385,-0.6841706037521362,-1.1852047443389893,1.693837285041809,1.7443444728851318,-1.891652226448059,-2.179095983505249
