step,FL_HAA,FR_HAA,HL_HAA,HR_HAA,FL_HFE,FR_HFE,HL_HFE,HR_HFE,FL_KFE,FR_KFE,HL_KFE,HR_KFE,HL_AFE,HR_AFE
0,0.0,0.0,0.0,0.0,0.4102,0.4102,-0.6981,-0.6981,-1.2716,-1.2716,1.676,1.676,-1.7219,-1.7219
0,-0.06754598766565323,-0.08221987634897232,-0.07497721165418625,-0.05159233883023262,0.48900702595710754,0.4925892949104309,-0.8430794477462769,-0.9404271841049194,-1.0146558284759521,-1.28351628780365,2.0794878005981445,1.1084070205688477,-1.5406193733215332,-2.008718967437744
0,-0.12171609699726105,-0.1623324751853943,-0.14787985384464264,-0.08639207482337952,0.4464586079120636,0.5050891637802124,-0.7270329594612122,-0.943024218082428,-0.9745765924453735,-1.1530638933181763,1.8890801668167114,1.221708059310913,-1.4853776693344116,-1.936791181564331
0,-0.11667511612176895,-0.19478464126586914,-0.1670927107334137,-0.09100508689880371,0.3840671181678772,0.5388182997703552,-0.6402764916419983,-0.9705733060836792,-0.9714197516441345,-1.1233046054840088,1.790091872215271,1.3821377754211426,-1.4756243228912354,-1.9585424661636353
0,-0.10854984819889069,-0.2126602679491043,-0.16030268371105194,-0.07534319907426834,0.30560600757598877,0.5454332828521729,-0.5896775722503662,-0.9387809038162231,-0.8965156674385071,-1.0423510074615479,1.833066463470459,1.501526951789856,-1.5805720090866089,-2.0532753467559814
0,-0.12505091726779938,-0.2323480099439621,-0.1570243239402771,-0.07789738476276398,0.24028757214546204,0.5443806052207947,-0.5172299742698669,-0.9075248837471008,-0.7884653210639954,-0.955103874206543,1.8519757986068726,1.5851863622665405,-1.6983959674835205,-2.146533489227295
0,-0.1572095900774002,-0.2563130259513855,-0.17322620749473572,-0.10127325356006622,0.24586065113544464,0.5167731642723083,-0.4312910735607147,-0.8821383118629456,-0.7371629476547241,-0.9493668675422668,1.845868706703186,1.6477248668670654,-1.8008613586425781,-2.2140746116638184
0,-0.19040319323539734,-0.2709349989891052,-0.19283606112003326,-0.128044992685318,0.2500709295272827,0.45091691613197327,-0.35399964451789856,-0.8497433066368103,-0.6891667246818542,-0.9700440764427185,1.8223057985305786,1.689721941947937,-1.8747891187667847,-2.2784500122070312
0,-0.2266634851694107,-0.281648725271225,-0.2129947543144226,-0.15733669698238373,0.25391680002212524,0.37877926230430603,-0.28468796610832214,-0.8155072927474976,-0.6597012281417847,-0.9804645776748657,1.7818684577941895,1.7219692468643188,-1.926477313041687,-2.3381171226501465
0,-0.26366379857063293,-0.3194909691810608,-0.22441914677619934,-0.18175990879535675,0.2565584182739258,0.3796408772468567,-0.22594806551933289,-0.7698849439620972,-0.6321145296096802,-0.9550935626029968,1.736951231956482,1.7477123737335205,-1.9604076147079468,-2.402381658554077
0,-0.29202109575271606,-0.35071060061454773,-0.22340723872184753,-0.19388024508953094,0.26126983761787415,0.4023241400718689,-0.1858193278312683,-0.7272429466247559,-0.6114104986190796,-0.9257314801216125,1.7034947872161865,1.7746405601501465,-1.9755052328109741,-2.452627420425415
