step,FL_HAA,FR_HAA,HL_HAA,HR_HAA,FL_HFE,FR_HFE,HL_HFE,HR_HFE,FL_KFE,FR_KFE,HL_KFE,HR_KFE,HL_AFE,HR_AFE
0,-0.06438463926315308,-0.03590472415089607,-0.009070681408047676,-0.017188549041748047,0.5739861130714417,0.601999819278717,-0.7306549549102783,-0.8323513865470886,-0.9747668504714966,-0.8883681893348694,1.4562828540802002,1.1082531213760376,-1.162682294845581,-1.711426854133606
0,-0.15683613717556,-0.12503290176391602,-0.04856567457318306,-0.06314987689256668,0.4984584152698517,0.6302763819694519,-0.6272571682929993,-0.8359392881393433,-0.9246648550033569,-0.9268356561660767,1.4566831588745117,1.188194751739502,-1.4673725366592407,-1.8016501665115356
0,-0.2355300486087799,-0.21820856630802155,-0.09998641163110733,-0.12063165009021759,0.4151861071586609,0.6145508289337158,-0.5027481317520142,-0.8266854882240295,-0.8810996413230896,-0.9126917719841003,1.3758392333984375,1.2462550401687622,-1.6198225021362305,-1.89848792552948
0,-0.28879794478416443,-0.28306227922439575,-0.17154589295387268,-0.17325812578201294,0.346780002117157,0.623314380645752,-0.3908384144306183,-0.8139550089836121,-0.7930518388748169,-0.8975070118904114,1.3066833019256592,1.3017909526824951,-1.669874906539917,-1.9977970123291016
0,-0.3097838759422302,-0.32461944222450256,-0.2274373471736908,-0.20922940969467163,0.30611589550971985,0.6679559946060181,-0.3018406629562378,-0.8000231385231018,-0.7797503471374512,-0.952393114566803,1.2699580192565918,1.3515595197677612,-1.7322704792022705,-2.0917508602142334
0,-0.3059534728527069,-0.35386648774147034,-0.2494274377822876,-0.2287461906671524,0.27835631370544434,0.6980090737342834,-0.22681306302547455,-0.8243557214736938,-0.7498913407325745,-0.9736490845680237,1.2359755039215088,1.4413504600524902,-1.8096730709075928,-2.149783134460449
0,-0.29300054907798767,-0.36822015047073364,-0.24505095183849335,-0.23212012648582458,0.267715185880661,0.7117770910263062,-0.1673136204481125,-0.84848552942276,-0.7421706318855286,-0.9630113840103149,1.1980994939804077,1.5213209390640259,-1.869699239730835,-2.188049554824829
0,-0.2885430157184601,-0.3737366497516632,-0.2329445630311966,-0.2264728844165802,0.2723945677280426,0.7181519865989685,-0.12656185030937195,-0.8624414801597595,-0.663580596446991,-0.9419665336608887,1.172944188117981,1.58381187915802,-1.9390451908111572,-2.2225074768066406
0,-0.29847627878189087,-0.3795892894268036,-0.22047266364097595,-0.22081021964550018,0.29630234837532043,0.7265760898590088,-0.10545697808265686,-0.8700773119926453,-0.6178107857704163,-0.9303973913192749,1.158803105354309,1.6313461065292358,-1.9878090620040894,-2.253897190093994
0,-0.31816577911376953,-0.38948768377304077,-0.2093818485736847,-0.2171914279460907,0.3255001902580261,0.7358832359313965,-0.09547729790210724,-0.8728564977645874,-0.604764461517334,-0.9234775304794312,1.1462323665618896,1.6668057441711426,-2.0221691131591797,-2.282188653945923
