step,FL_HAA,FR_HAA,HL_HAA,HR_HAA,FL_HFE,FR_HFE,HL_HFE,HR_HFE,FL_KFE,FR_KFE,HL_KFE,HR_KFE,HL_AFE,HR_AFE
0,0.0,0.0,0.0,0.0,0.4102,0.4102,-0.6981,-0.6981,-1.2716,-1.2716,1.676,1.676,-1.7219,-1.7219
0,0.0,0.0,0.0,0.0,0.5708960890769958,0.5001646876335144,-0.842898964881897,-0.6602506041526794,-1.0300754308700562,-1.204411506652832,1.1162904500961304,2.495570182800293,-1.8917872905731201,-1.5074776411056519
0,-0.08524391800165176,-0.059781480580568314,-0.04276253655552864,-0.025031806901097298,0.5690552592277527,0.4853532910346985,-0.845152735710144,-0.5843002200126648,-1.0111159086227417,-1.0801634788513184,1.1631067991256714,2.430940628051758,-1.864309549331665,-1.5640453100204468
0,-0.16656997799873352,-0.14140114188194275,-0.107185497879982,-0.019203852862119675,0.5306168794631958,0.4551520049571991,-0.8266262412071228,-0.4754043519496918,-0.877873957157135,-0.9405131340026855,1.2230589389801025,2.315558433532715,-1.8489114046096802,-1.7534431219100952
0,-0.18678152561187744,-0.21478164196014404,-0.18703196942806244,-0.009816272184252739,0.48233944177627563,0.4279334843158722,-0.7840642333030701,-0.38592690229415894,-0.7840074896812439,-0.910631000995636,1.2865582704544067,2.1388802528381348,-1.8864737749099731,-1.763261318206787
0,-0.20813614130020142,-0.2732417583465576,-0.2611134648323059,0.01017878856509924,0.43285733461380005,0.3837569057941437,-0.7101849913597107,-0.314556360244751,-0.6958616971969604,-0.7861299514770508,1.2831507921218872,1.944932460784912,-1.9348543882369995,-1.9594547748565674
0,-0.24199143052101135,-0.3199775516986847,-0.3345172703266144,0.004784208722412586,0.3925759792327881,0.3521999418735504,-0.6621658802032471,-0.2787512242794037,-0.6415857672691345,-0.745934784412384,1.297837257385254,1.731338620185852,-1.9803626537322998,-1.9741631746292114
0,-0.2896398603916168,-0.3716362416744232,-0.41176867485046387,-0.03186214342713356,0.35951778292655945,0.3376935124397278,-0.6303706169128418,-0.28508633375167847,-0.6214281916618347,-0.6996493935585022,1.3242560625076294,1.6227781772613525,-2.00626540184021,-1.933189034461975
0,-0.31188851594924927,-0.40654614567756653,-0.44635462760925293,-0.060203686356544495,0.33595120906829834,0.40170732140541077,-0.5938661694526672,-0.25928887724876404,-0.6058580279350281,-0.8173367381095886,1.3355846405029297,1.6800590753555298,-2.0586369037628174,-1.9822654724121094
0,-0.31983837485313416,-0.4196103811264038,-0.45955342054367065,-0.0682888925075531,0.3323276937007904,0.4460025429725647,-0.5676028728485107,-0.21455125510692596,-0.5833921432495117,-0.8806895613670349,1.3344526290893555,1.6933563947677612,-2.107426404953003,-2.068135976791382
0,-0.32199719548225403,-0.42297086119651794,-0.4659392833709717,-0.07061462104320526,0.34045302867889404,0.47433626651763916,-0.5538694262504578,-0.1788540482521057,-0.5795682668685913,-0.9171767234802246,1.3482863903045654,1.7004557847976685,-2.149167776107788,-2.128807306289673
0,-0.321159690618515,-0.4223862588405609,-0.4699651896953583,-0.07214552164077759,0.3494183123111725,0.49067172408103943,-0.5437642931938171,-0.14754828810691833,-0.5771076679229736,-0.9336725473403931,1.3649646043777466,1.6985551118850708,-2.183431386947632,-2.171539306640625
0,-0.31911301612854004,-0.4199669361114502,-0.47330451011657715,-0.07483216375112534,0.35762473940849304,0.49835801124572754,-0.5354633331298828,-0.11984901875257492,-0.5732633471488953,-0.9364998936653137,1.3817665576934814,1.68830406665802,-2.2107527256011963,-2.1996567249298096
0,-0.3165370523929596,-0.4166233241558075,-0.4767351746559143,-0.07946860790252686,0.36538416147232056,0.49993792176246643,-0.5297743082046509,-0.09785028547048569,-0.568820059299469,-0.9304863810539246,1.3995667695999146,1.6734553575515747,-2.230774164199829,-2.2140188217163086
0,-0.3136434257030487,-0.4126562774181366,-0.48052799701690674,-0.08628369867801666,0.37356770038604736,0.4972943961620331,-0.5266131162643433,-0.08351797610521317,-0.5655776858329773,-0.9194233417510986,1.4181804656982422,1.6565762758255005,-2.243790626525879,-2.2142174243927
0,-0.3104668855667114,-0.4080837070941925,-0.48455342650413513,-0.09479863941669464,0.3825457692146301,0.4915018379688263,-0.5251303315162659,-0.07761996984481812,-0.564054012298584,-0.9050033688545227,1.436543583869934,1.640318751335144,-2.250866413116455,-2.2006678581237793
0,-0.30674004554748535,-0.402748703956604,-0.488434374332428,-0.10417865961790085,0.3927774131298065,0.4832584261894226,-0.5244913101196289,-0.08014233410358429,-0.5653268098831177,-0.8882296085357666,1.453680157661438,1.626068115234375,-2.2532215118408203,-2.1739091873168945
0,-0.30201515555381775,-0.39658182859420776,-0.4918067157268524,-0.11359196156263351,0.40442731976509094,0.47336703538894653,-0.5246446132659912,-0.0905243456363678,-0.5691173076629639,-0.8700684905052185,1.4695152044296265,1.6139386892318726,-2.251450300216675,-2.134986639022827
0,-0.2970295548439026,-0.38987821340560913,-0.4944669306278229,-0.12254227697849274,0.4177737832069397,0.4628511369228363,-0.5256397128105164,-0.10797220468521118,-0.5765187740325928,-0.8518480062484741,1.4835416078567505,1.6040213108062744,-2.2448649406433105,-2.08475661277771
0,-0.2918975353240967,-0.3826914131641388,-0.4963991045951843,-0.13050758838653564,0.4324968159198761,0.4528215229511261,-0.5268564820289612,-0.12983211874961853,-0.5869677662849426,-0.83442223072052,1.4960739612579346,1.594919204711914,-2.235499382019043,-2.025752305984497
0,-0.2866504192352295,-0.37537652254104614,-0.4975079596042633,-0.13701188564300537,0.4480043947696686,0.44425955414772034,-0.528354287147522,-0.15079018473625183,-0.5985618829727173,-0.8183563947677612,1.5075570344924927,1.5834170579910278,-2.223911762237549,-1.964038372039795
0,-0.2823614180088043,-0.36875343322753906,-0.49833253026008606,-0.14266322553157806,0.4643199145793915,0.43885090947151184,-0.529958188533783,-0.16797427833080292,-0.612041175365448,-0.8090308904647827,1.5176007747650146,1.5687936544418335,-2.2097973823547363,-1.9042030572891235
0,-0.27898699045181274,-0.36381152272224426,-0.49911972880363464,-0.1474304050207138,0.4806889295578003,0.4379940330982208,-0.5314792990684509,-0.17977994680404663,-0.6253123879432678,-0.803057074546814,1.5273135900497437,1.5511534214019775,-2.1952571868896484,-1.8490052223205566
0,-0.27630555629730225,-0.35987725853919983,-0.49954789876937866,-0.15102539956569672,0.4973701536655426,0.43973392248153687,-0.5319510698318481,-0.18695031106472015,-0.6388530731201172,-0.7994546294212341,1.5355579853057861,1.5316095352172852,-2.1813347339630127,-1.7982995510101318
0,-0.2743816077709198,-0.35718193650245667,-0.4995799660682678,-0.1534029245376587,0.5147744417190552,0.4436160922050476,-0.52998286485672,-0.1905178278684616,-0.6539604663848877,-0.7974870800971985,1.5405217409133911,1.5114247798919678,-2.1691689491271973,-1.751477837562561
0,-0.2734367549419403,-0.3568148910999298,-0.4994731843471527,-0.15361733734607697,0.5329760313034058,0.4478987157344818,-0.5247620940208435,-0.1911802589893341,-0.6709594130516052,-0.7955857515335083,1.5417183637619019,1.492415189743042,-2.160767078399658,-1.7100722789764404
0,-0.2735438644886017,-0.3573709726333618,-0.4990983307361603,-0.14914849400520325,0.552545964717865,0.4549639821052551,-0.5158398747444153,-0.18916738033294678,-0.6909403800964355,-0.7955597043037415,1.538689374923706,1.4773858785629272,-2.156771183013916,-1.6795192956924438
0,-0.2742983400821686,-0.3584262430667877,-0.4982641041278839,-0.1383596509695053,0.5732463002204895,0.46424514055252075,-0.5037876963615417,-0.18628835678100586,-0.7139815092086792,-0.7992227077484131,1.5318973064422607,1.4685276746749878,-2.1568949222564697,-1.6604856252670288
0,-0.27557095885276794,-0.3599361777305603,-0.4970513880252838,-0.12231244146823883,0.5951768159866333,0.47343820333480835,-0.4886349141597748,-0.1852937638759613,-0.7401441335678101,-0.8015809655189514,1.521504521369934,1.4668899774551392,-2.1614482402801514,-1.6563317775726318
0,-0.27752143144607544,-0.36309629678726196,-0.4969773292541504,-0.105401910841465,0.6162069439888,0.48087918758392334,-0.46897441148757935,-0.1880284547805786,-0.7730927467346191,-0.7992883920669556,1.5060573816299438,1.47221839427948,-2.1700315475463867,-1.6596401929855347
0,-0.2720983028411865,-0.3659719228744507,-0.49601975083351135,-0.08313269168138504,0.6386038064956665,0.4858509302139282,-0.4432899057865143,-0.19960366189479828,-0.8351233601570129,-0.7929454445838928,1.4827708005905151,1.4882160425186157,-2.1852569580078125,-1.7001526355743408
0,-0.27496036887168884,-0.3736039996147156,-0.4993583559989929,-0.06340888887643814,0.6599116325378418,0.48467114567756653,-0.40768754482269287,-0.22469738125801086,-0.8911665678024292,-0.7728407979011536,1.4484280347824097,1.5206273794174194,-2.2061707973480225,-1.7263866662979126
