timestamp_s,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,cmd_FL_HAA,cmd_FL_HFE,cmd_FL_KFE,cmd_FR_HAA,cmd_FR_HFE,cmd_FR_KFE,cmd_HL_HAA,cmd_HL_HFE,cmd_HL_KFE,cmd_HL_AFE,cmd_HR_HAA,cmd_HR_HFE,cmd_HR_KFE,cmd_HR_AFE
1782505082.9800835,-0.06004531681537628,0.23191693425178528,-0.44830521941185,-0.15359333157539368,0.3645845055580139,-0.38934212923049927,5.4232948798471625e-08,-2.4728544545382647e-08,-0.9999999403953552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013081789016723633,0.1772635579109192,0.015390515327453613,0.07614988088607788,0.39975160360336304,0.2875521779060364,-0.29105520248413086,0.6524926424026489,0.17891740798950195,-0.32166242599487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.949842929840088,-0.20137205719947815,0.13889488577842712,-0.6819248795509338,-0.14350154995918274,0.48058557510375977,-1.057931661605835,-0.18072202801704407,-0.39090585708618164,1.3282456398010254,-1.5548611879348755,0.4003005921840668,-0.5932455658912659,1.5635321140289307,-1.7664285898208618
1782505082.9994755,0.021697336807847023,0.10219103842973709,-0.07971756905317307,2.7827229499816895,-0.5322210788726807,-0.3883023262023926,-0.005991337820887566,-0.043395426124334335,-0.9990397691726685,-3.902245044708252,1.862411379814148,0.004111260175704956,2.779390573501587,-0.044563040137290955,-0.04829999431967735,-0.056372951716184616,-0.03641583397984505,0.09699773788452148,0.19243425130844116,0.050167739391326904,0.10842710733413696,0.270953893661499,0.2397679090499878,-0.21755456924438477,0.6068743467330933,-0.024895191192626953,-0.1908167600631714,-2.8438241481781006,-2.8126144409179688,-3.3112423419952393,-1.1048403978347778,3.4466333389282227,2.147921323776245,2.5886194705963135,3.4914450645446777,-4.529986381530762,-0.00045680999755859375,2.6969876289367676,-2.1177852153778076,-10.15125560760498,-13.95762825012207,-0.4027441143989563,-0.2870030999183655,-0.36144405603408813,0.8006011843681335,-0.542610228061676,0.14077118039131165,0.6143882274627686,0.20970883965492249,1.1793502569198608,0.42733660340309143,-0.6955087780952454,-0.22493572533130646,0.33407750725746155,-0.08905714750289917,5.9298529624938965,-0.43451887369155884,0.20114725828170776,-0.9967151880264282,0.11914598196744919,-0.044032156467437744,-0.6746004223823547,-0.30518749356269836,-0.41885483264923096,1.0202927589416504,-1.6931555271148682,0.39933592081069946,-0.8404883742332458,1.2118215560913086,-1.6718703508377075
1782505083.019462,-0.02118351310491562,0.08957056701183319,0.1722017079591751,1.5819770097732544,-0.030134476721286774,0.3141460418701172,-0.009656835347414017,-0.08328915387392044,-0.9964786767959595,-3.900865316390991,1.862619161605835,0.002169489860534668,2.778722047805786,-0.11694927513599396,-0.0940215066075325,-0.10005665570497513,0.010049850679934025,0.10396015644073486,0.20298147201538086,0.126508891582489,0.1552295684814453,0.30542701482772827,0.22830915451049805,-0.24346637725830078,0.4990595579147339,-0.18719863891601562,-0.06773543357849121,-4.057580947875977,-1.8901509046554565,-1.5745947360992432,4.229964733123779,-0.8761042356491089,-0.2217879444360733,4.29195499420166,2.730710983276367,0.45265135169029236,0.6339922547340393,-2.7500951290130615,-5.179953098297119,-7.638541221618652,-13.597158432006836,-0.8690377473831177,0.23829196393489838,-0.6103749871253967,0.7986718416213989,-0.41810548305511475,-0.9084643125534058,0.5584902763366699,-0.28477680683135986,0.5497696399688721,1.193999171257019,-1.3114145994186401,-0.9283570051193237,0.057489003986120224,0.10005927830934525,5.909884929656982,-0.4250011146068573,0.31858712434768677,-0.9817648530006409,0.2177472561597824,0.09389904141426086,-0.6925581097602844,-0.5615131855010986,-0.5145912766456604,1.112735629081726,-1.7593251466751099,0.2401084154844284,-0.7119043469429016,1.185757040977478,-1.6594337224960327
1782505083.039483,-0.06262007355690002,0.14487214386463165,0.2600865960121155,0.8074647188186646,-0.13678891956806183,0.6314862966537476,-0.011290693655610085,-0.1055682897567749,-0.9943476319313049,-3.879981517791748,1.901208519935608,-0.002998113865032792,2.7681424617767334,-0.21148623526096344,-0.1265154927968979,-0.1212737187743187,0.0907234326004982,0.06616869568824768,0.17830544710159302,0.212359219789505,0.20897752046585083,0.3145349621772766,0.2797398567199707,-0.3431684970855713,0.3036160469055176,-0.2390807867050171,0.025489449501037598,-3.7240841388702393,-1.3143908977508545,-0.6603914499282837,4.079397678375244,-1.9341241121292114,-1.7594585418701172,4.299006462097168,3.376971483230591,1.4679059982299805,3.7346599102020264,-6.221930027008057,-10.048385620117188,-1.7151018381118774,-13.760612487792969,-0.8500022292137146,0.4354945123195648,-1.1230263710021973,0.4802168309688568,-0.18322572112083435,-0.6326019167900085,0.3670174181461334,-0.027608782052993774,0.5796703100204468,1.1580837965011597,-1.1265287399291992,-0.9804859161376953,-0.07485039532184601,0.1249324157834053,5.889845371246338,-0.4082603454589844,0.351576566696167,-0.9621771574020386,0.16897273063659668,0.18398761749267578,-0.7723119258880615,-0.5873205065727234,-0.5383443832397461,1.1354382038116455,-1.6969823837280273,0.21974946558475494,-0.647421658039093,1.2933268547058105,-1.6696805953979492
1782505083.0594978,-0.11781434714794159,0.2618294358253479,0.21705052256584167,1.0084705352783203,-0.35002774000167847,0.5819442272186279,-0.01609814539551735,-0.11930543929338455,-0.9927268028259277,-3.8527629375457764,1.9484587907791138,-0.008545994758605957,2.755082368850708,-0.2686053514480591,-0.15273894369602203,-0.13344910740852356,0.14234815537929535,0.03069281578063965,0.13429754972457886,0.2686704099178314,0.26928046345710754,0.32236248254776,0.36819612979888916,-0.4375641345977783,0.07686853408813477,-0.2478867769241333,0.15722441673278809,-3.7506892681121826,-1.7242326736450195,-1.1384291648864746,-1.8441373109817505,-1.8079394102096558,-2.0929477214813232,2.0295963287353516,1.577578067779541,-0.2510446310043335,4.440634250640869,-3.296731472015381,-0.6911582946777344,-0.24055495858192444,-1.5550885200500488,-0.8165206909179688,0.33794546127319336,-1.1746410131454468,0.4394989311695099,-0.11724688112735748,-0.4524247646331787,0.31951114535331726,0.10135658085346222,0.6188457012176514,0.9985762238502502,-1.0811235904693604,-0.7653464078903198,0.04983523115515709,0.10443884879350662,5.869848728179932,-0.4293164908885956,0.3903137743473053,-1.0179870128631592,-0.11203094571828842,0.062356799840927124,-0.7945177555084229,-0.3782345652580261,-0.42258498072624207,0.9779074192047119,-1.7517496347427368,0.3660578429698944,-0.5731726884841919,1.220183253288269,-1.550655484199524
1782505083.0794675,-0.10459096729755402,0.27912282943725586,0.24220597743988037,0.037430260330438614,0.32222574949264526,0.8450676202774048,-0.01611112430691719,-0.12743791937828064,-0.991715669631958,-3.8204407691955566,2.0019476413726807,-0.013906599953770638,2.739877939224243,-0.33934688568115234,-0.1768578439950943,-0.1423238068819046,0.13428688049316406,-0.010239005088806152,0.08124709129333496,0.3083793818950653,0.30094102025032043,0.27946341037750244,0.46778279542922974,-0.5240542888641357,0.04244279861450195,-0.24066925048828125,0.1535860300064087,-3.3533618450164795,-0.8380259275436401,-0.023202665150165558,0.03930901736021042,-2.3082048892974854,-2.6461567878723145,1.7908997535705566,1.4882473945617676,-1.2567107677459717,4.844418525695801,-4.477684020996094,-2.1150872707366943,0.4784150719642639,-1.458654522895813,-0.8586329817771912,-0.22406189143657684,-0.7564691305160522,0.7321156859397888,-0.03977242857217789,-0.695686399936676,0.5510299801826477,0.24985453486442566,0.5072259306907654,0.9541645646095276,-1.3961851596832275,-0.9116335511207581,-0.05969928577542305,0.3424889147281647,5.849854946136475,-0.5530585646629333,0.2894447445869446,-0.9066157341003418,-0.02155907452106476,0.11600086092948914,-0.8555351495742798,-0.3206062316894531,-0.32626453042030334,1.0640668869018555,-1.8374886512756348,0.36752015352249146,-0.5327162146568298,1.1705851554870605,-1.5003350973129272
1782505083.099416,-0.09847941994667053,0.29056674242019653,0.1594534069299698,-1.0837043523788452,0.8921108245849609,0.8872532248497009,-0.004437826573848724,-0.11417804658412933,-0.9934502840042114,-3.779301643371582,2.069350242614746,-0.018435239791870117,2.720834493637085,-0.4033326506614685,-0.17715956270694733,-0.12875577807426453,0.1510172337293625,-0.07290410995483398,0.024435847997665405,0.3334593176841736,0.3211492598056793,0.3425430655479431,0.47787368297576904,-0.6125935316085815,-0.019999146461486816,-0.22515439987182617,0.17098164558410645,-3.0260965824127197,0.27179062366485596,1.1027686595916748,1.186212182044983,-3.023888111114502,-2.3785953521728516,0.8435242772102356,0.6264767050743103,1.188132643699646,-4.4635725021362305,-4.1730804443359375,-2.7057087421417236,0.889504075050354,-5.134073257446289,-1.1061171293258667,-0.04311814904212952,-0.6412124633789062,0.7350403070449829,-0.2415105402469635,-0.588398277759552,0.7436708807945251,0.33076751232147217,0.7299685478210449,0.8321296572685242,-1.2238662242889404,-1.0108296871185303,-0.2311772108078003,0.4431297779083252,5.82988977432251,-0.5876278877258301,0.13315492868423462,-0.8019163608551025,0.04138759523630142,0.17975521087646484,-0.9096318483352661,-0.4536184072494507,-0.3928540349006653,1.0938317775726318,-1.7926262617111206,0.28283995389938354,-0.4565444588661194,1.2190003395080566,-1.5616397857666016
1782505083.1194499,-0.1287708431482315,0.3048432469367981,0.1857701539993286,-0.14378449320793152,0.6049856543540955,0.7973765730857849,0.0074129290878772736,-0.10542486608028412,-0.9943996667861938,-3.7421088218688965,2.1264543533325195,-0.02279067412018776,2.704301595687866,-0.42085596919059753,-0.16461597383022308,-0.12733925879001617,0.16043634712696075,-0.09071618318557739,-0.04275903105735779,0.3317806124687195,0.34240835905075073,0.3341253995895386,0.45100265741348267,-0.6559634208679199,-0.0806037187576294,-0.1937417984008789,0.17807912826538086,-0.6736941337585449,-0.9007108807563782,-0.45469462871551514,0.15508070588111877,-1.0119059085845947,-3.3071656227111816,-0.7887781858444214,1.4249060153961182,-3.829812526702881,17.039653778076172,-0.8956373929977417,-2.924487590789795,1.9022340774536133,-0.4593752920627594,-1.1752557754516602,0.08277519047260284,-0.9072368144989014,0.5656799077987671,-0.554090142250061,-0.4608895778656006,0.6104918718338013,0.48311102390289307,0.9393672943115234,0.7239363789558411,-1.1643363237380981,-0.9139991998672485,-0.1414525955915451,0.32052043080329895,5.809854507446289,-0.6160684823989868,0.26757484674453735,-0.9013189077377319,-0.022575868293642998,0.1257513165473938,-0.9190534949302673,-0.0627659410238266,-0.1581273078918457,1.0707635879516602,-1.8848634958267212,0.4340478479862213,-0.5881994962692261,1.0852562189102173,-1.423133134841919
1782505083.1394603,-0.102165587246418,0.28966471552848816,0.16094855964183807,-1.3471330404281616,0.7183420658111572,0.7070075273513794,0.019748413935303688,-0.08661581575870514,-0.996045708656311,-3.703808307647705,2.183443069458008,-0.026662351563572884,2.687577486038208,-0.4235208332538605,-0.1492825299501419,-0.11770293116569519,0.17937234044075012,-0.10030215978622437,-0.08965441584587097,0.3329862058162689,0.35396310687065125,0.31325846910476685,0.394248902797699,-0.6906858682632446,-0.14354288578033447,-0.1758061647415161,0.21272993087768555,0.21744060516357422,1.7445939779281616,0.854705810546875,1.3152655363082886,0.2671869993209839,-3.202700614929199,0.4546925127506256,-0.17728403210639954,-2.4002606868743896,-1.1181142330169678,-1.9889745712280273,-2.780036211013794,0.7336066365242004,2.594370126724243,-1.2321369647979736,-0.045151736587285995,-0.1255318820476532,0.8680956959724426,-0.2852502763271332,-0.5688973665237427,1.0799453258514404,0.2198008894920349,0.7405622005462646,0.7050930261611938,-1.2104729413986206,-1.1814875602722168,-0.32592707872390747,0.597533643245697,5.789849281311035,-0.8203098177909851,-0.051984548568725586,-0.8447521924972534,0.03996210917830467,0.165120929479599,-0.9794847965240479,-0.14139214158058167,-0.292127400636673,1.1797642707824707,-1.8648005723953247,0.3968943655490875,-0.47396302223205566,1.0629284381866455,-1.4315434694290161
1782505083.1594427,-0.1398259699344635,0.324815571308136,0.1500120460987091,-0.7519177198410034,0.4114643335342407,0.8791470527648926,0.029273374006152153,-0.06588464975357056,-0.9973976612091064,-3.6631243228912354,2.2410640716552734,-0.030130626633763313,2.6703903675079346,-0.42511212825775146,-0.10745202004909515,-0.11475623399019241,0.20078320801258087,-0.11143088340759277,-0.15550220012664795,0.3165528476238251,0.35843807458877563,0.2987571954727173,0.32940858602523804,-0.6703921556472778,-0.19439303874969482,-0.16527330875396729,0.25534212589263916,-0.46766388416290283,2.130617141723633,-0.3869606554508209,0.8256356120109558,-0.551987886428833,-3.509415626525879,-1.180533766746521,0.4246200919151306,-0.46574652194976807,-1.942989706993103,2.0893168449401855,-2.0976638793945312,0.9201321601867676,1.1221647262573242,-1.6406196355819702,0.07992421835660934,-0.28278428316116333,0.793788731098175,-0.9243690967559814,-0.4901581406593323,0.8119451403617859,0.4482738971710205,0.8536956906318665,0.5842304229736328,-0.9924713373184204,-1.22614324092865,-0.2858012020587921,0.5807129740715027,5.769857883453369,-0.7358220815658569,-0.035487860441207886,-0.7933054566383362,0.026645204052329063,0.21394884586334229,-1.0086085796356201,-0.14921101927757263,-0.3028600513935089,1.2001726627349854,-1.848783254623413,0.3529956042766571,-0.4466300308704376,1.0599803924560547,-1.47665536403656
