[INFO] [1784656200.154825, 0.263000]: FL_HAA: 0.1747407764196396
[INFO] [1784656200.157954, 0.266000]: FL_HFE: 0.6011215897321701
[INFO] [1784656200.165646, 0.271000]: FL_KFE: -1.654385052061081
[INFO] [1784656200.171767, 0.276000]: FR_HAA: 0.18278451263904572
[INFO] [1784656200.174569, 0.279000]: FR_HFE: 0.7238624395847321
[INFO] [1784656200.186241, 0.284000]: FR_KFE: -1.8753229895591736
[INFO] [1784656200.192707, 0.286000]: HL_HAA: -0.03989427909255028
[INFO] [1784656200.195679, 0.290000]: HL_HFE: -0.9430786365032197
[INFO] [1784656200.207531, 0.298000]: HL_KFE: 2.382655204296112
[INFO] [1784656200.210525, 0.301000]: HL_AFE: -2.4464137095451353
[INFO] [1784656200.220256, 0.307000]: HR_HAA: 0.3202390670776367
[INFO] [1784656200.225294, 0.313000]: HR_HFE: -0.9824812108039856
[INFO] [1784656200.233299, 0.315000]: HR_KFE: 2.452778519153595
[INFO] [1784656200.241667, 0.322000]: HR_AFE: -2.677396072769165
[INFO] [1784656200.251732, 0.327000]: FL_HAA: 0.14652849733829498
[INFO] [1784656200.259803, 0.333000]: FL_HFE: 0.6680226923942566
[INFO] [1784656200.270962, 0.337000]: FL_KFE: -1.7583061376571656
[INFO] [1784656200.275676, 0.341000]: FR_HAA: 0.22773011028766632
[INFO] [1784656200.291353, 0.347000]: FR_HFE: 0.7849936189174652
[INFO] [1784656200.301229, 0.347000]: FR_KFE: -1.9658768692970277
[INFO] [1784656200.309734, 0.347000]: HL_HAA: -0.054435037076473236
[INFO] [1784656200.317366, 0.347000]: HL_HFE: -0.9803067141532898
[INFO] [1784656200.323968, 0.347000]: HL_KFE: 2.511977613925934
[INFO] [1784656200.328847, 0.347000]: HL_AFE: -2.603140606307983
[INFO] [1784656200.335607, 0.347000]: HR_HAA: 0.34369948506355286
[INFO] [1784656200.340265, 0.347000]: HR_HFE: -1.0253171616554262
[INFO] [1784656200.347146, 0.347000]: HR_KFE: 2.584348560333252
[INFO] [1784656200.352868, 0.347000]: HR_AFE: -2.8609471458435056
[INFO] [1784656200.356685, 0.347000]: FL_HAA: 0.13013812899589539
[INFO] [1784656200.364406, 0.347000]: FL_HFE: 0.6980248691558838
[INFO] [1784656200.369939, 0.347000]: FL_KFE: -1.7969803730010987
[INFO] [1784656200.377196, 0.347000]: FR_HAA: 0.23899643123149872
[INFO] [1784656200.382095, 0.347000]: FR_HFE: 0.8164939286231995
[INFO] [1784656200.388726, 0.347000]: FR_KFE: -1.9930129567146302
[INFO] [1784656200.395725, 0.347000]: HL_HAA: -0.060608044266700745
[INFO] [1784656200.406826, 0.347000]: HL_HFE: -0.972767114019394
[INFO] [1784656200.415293, 0.347000]: HL_KFE: 2.557814956665039
[INFO] [1784656200.418352, 0.347000]: HL_AFE: -2.65069444360733
[INFO] [1784656200.427487, 0.347000]: HR_HAA: 0.3512164354324341
[INFO] [1784656200.432316, 0.347000]: HR_HFE: -1.028240769481659
[INFO] [1784656200.439197, 0.347000]: HR_KFE: 2.626705170631409
[INFO] [1784656200.444036, 0.347000]: HR_AFE: -2.9080431598663328
[INFO] [1784656200.781551, 0.363000]: FL_HAA: 0.1232520341873169
[INFO] [1784656200.784890, 0.367000]: FL_HFE: 0.7236286403656006
[INFO] [1784656200.787619, 0.370000]: FL_KFE: -1.8309845248222352
[INFO] [1784656200.795305, 0.373000]: FR_HAA: 0.24928085505962372
[INFO] [1784656200.801588, 0.377000]: FR_HFE: 0.8414184751033783
[INFO] [1784656200.810637, 0.384000]: FR_KFE: -2.018962792491913
[INFO] [1784656200.818715, 0.387000]: HL_HAA: -0.06716936826705933
[INFO] [1784656200.823933, 0.392000]: HL_HFE: -0.9714254730701447
[INFO] [1784656200.835386, 0.398000]: HL_KFE: 2.600164116382599
[INFO] [1784656200.849580, 0.406000]: HL_AFE: -2.697221888923645
[INFO] [1784656200.855677, 0.413000]: HR_HAA: 0.3566623330116272
[INFO] [1784656200.874356, 0.425000]: HR_HFE: -1.0355752700328829
[INFO] [1784656200.884717, 0.429000]: HR_KFE: 2.6669889698028566
[INFO] [1784656200.893502, 0.434000]: HR_AFE: -2.953725470924377
[INFO] [1784656200.900461, 0.439000]: FL_HAA: 0.11774659156799316
[INFO] [1784656200.912958, 0.445000]: FL_HFE: 0.7855843009471893
[INFO] [1784656200.919038, 0.450000]: FL_KFE: -1.9046304741859437
[INFO] [1784656200.934081, 0.451000]: FR_HAA: 0.25754842162132263
[INFO] [1784656200.943252, 0.451000]: FR_HFE: 0.9112696649551392
[INFO] [1784656200.951003, 0.451000]: FR_KFE: -2.0917813101768497
[INFO] [1784656200.962042, 0.451000]: HL_HAA: -0.08815479278564453
[INFO] [1784656200.967028, 0.451000]: HL_HFE: -0.9842592471599579
[INFO] [1784656200.980261, 0.451000]: HL_KFE: 2.708703161239624
[INFO] [1784656200.983997, 0.451000]: HL_AFE: -2.8264769453048704
[INFO] [1784656200.995019, 0.451000]: HR_HAA: 0.38003942370414734
[INFO] [1784656201.002441, 0.451000]: HR_HFE: -1.0666337603092195
[INFO] [1784656201.008944, 0.451000]: HR_KFE: 2.7787804613113405
[INFO] [1784656201.013471, 0.451000]: HR_AFE: -3.081333531761169
[INFO] [1784656201.021928, 0.451000]: FL_HAA: 0.11362994462251663
[INFO] [1784656201.026965, 0.451000]: FL_HFE: 0.807051509809494
[INFO] [1784656201.034254, 0.451000]: FL_KFE: -1.9265085378646851
[INFO] [1784656201.040472, 0.451000]: FR_HAA: 0.26791930198669434
[INFO] [1784656201.043581, 0.451000]: FR_HFE: 0.9334561826705933
[INFO] [1784656201.051096, 0.451000]: FR_KFE: -2.114271632766724
[INFO] [1784656201.055852, 0.451000]: HL_HAA: -0.0932982936501503
[INFO] [1784656201.058257, 0.451000]: HL_HFE: -0.9837281399726868
[INFO] [1784656201.065321, 0.451000]: HL_KFE: 2.742032648086548
[INFO] [1784656201.070580, 0.451000]: HL_AFE: -2.8663537639617918
[INFO] [1784656201.073014, 0.451000]: HR_HAA: 0.38772812485694885
[INFO] [1784656201.078113, 0.451000]: HR_HFE: -1.0750984245300295
[INFO] [1784656201.082700, 0.451000]: HR_KFE: 2.8115929374694826
[INFO] [1784656201.087351, 0.451000]: HR_AFE: -3.120833172225952
[INFO] [1784656201.402411, 0.462000]: FL_HAA: 0.1090669333934784
[INFO] [1784656201.404574, 0.464000]: FL_HFE: 0.8276440801143646
[INFO] [1784656201.407604, 0.467000]: FL_KFE: -1.947752229309082
[INFO] [1784656201.414583, 0.471000]: FR_HAA: 0.2778307795524597
[INFO] [1784656201.420219, 0.477000]: FR_HFE: 0.9546348454475403
[INFO] [1784656201.422501, 0.480000]: FR_KFE: -2.1355886975288394
[INFO] [1784656201.431032, 0.484000]: HL_HAA: -0.09815037995576859
[INFO] [1784656201.437691, 0.490000]: HL_HFE: -0.9827141159534455
[INFO] [1784656201.440943, 0.494000]: HL_KFE: 2.773693920135498
[INFO] [1784656201.456929, 0.504000]: HL_AFE: -2.9042126077651975
[INFO] [1784656201.459986, 0.505000]: HR_HAA: 0.39506465196609497
[INFO] [1784656201.462868, 0.507000]: HR_HFE: -1.0830927484989168
[INFO] [1784656201.475032, 0.510000]: HR_KFE: 2.8425996313095094
[INFO] [1784656201.477351, 0.517000]: HR_AFE: -3.158205284500122
[INFO] [1784656201.485518, 0.521000]: FL_HAA: 0.10003547370433807
[INFO] [1784656201.491518, 0.528000]: FL_HFE: 0.8633378746032715
[INFO] [1784656201.498887, 0.532000]: FL_KFE: -1.9900184193611146
[INFO] [1784656201.505794, 0.538000]: FR_HAA: 0.29259607195854187
[INFO] [1784656201.512371, 0.543000]: FR_HFE: 0.9859464170455933
[INFO] [1784656201.519390, 0.544000]: FR_KFE: -2.176970950698853
[INFO] [1784656201.523636, 0.544000]: HL_HAA: -0.10775282979011536
[INFO] [1784656201.531503, 0.544000]: HL_HFE: -0.9873362773418427
[INFO] [1784656201.536816, 0.544000]: HL_KFE: 2.8347529182434084
[INFO] [1784656201.544637, 0.544000]: HL_AFE: -2.980539335632324
[INFO] [1784656201.550597, 0.544000]: HR_HAA: 0.404829740524292
[INFO] [1784656201.552840, 0.544000]: HR_HFE: -1.1017445021629335
[INFO] [1784656201.560076, 0.544000]: HR_KFE: 2.903901339530945
[INFO] [1784656201.565173, 0.544000]: HR_AFE: -3.2364723819732664
[INFO] [1784656201.567801, 0.544000]: FL_HAA: 0.08795459568500519
[INFO] [1784656201.574868, 0.544000]: FL_HFE: 0.9031147064685822
[INFO] [1784656201.580229, 0.544000]: FL_KFE: -2.0340148130416873
[INFO] [1784656201.582456, 0.544000]: FR_HAA: 0.3070255517959595
[INFO] [1784656201.589323, 0.544000]: FR_HFE: 1.0197890998840333
[INFO] [1784656201.594573, 0.544000]: FR_KFE: -2.2168630281448367
[INFO] [1784656201.596853, 0.544000]: HL_HAA: -0.11861525475978851
[INFO] [1784656201.602566, 0.544000]: HL_HFE: -0.9823047810554505
[INFO] [1784656201.607914, 0.544000]: HL_KFE: 2.8869174728393556
[INFO] [1784656201.612350, 0.544000]: HL_AFE: -3.0508322853088377
[INFO] [1784656201.616534, 0.544000]: HR_HAA: 0.4147945046424866
[INFO] [1784656201.622947, 0.544000]: HR_HFE: -1.1212146275997164
[INFO] [1784656201.627848, 0.544000]: HR_KFE: 2.9608360538482668
[INFO] [1784656201.630082, 0.544000]: HR_AFE: -3.3051917690277097
[INFO] [1784656201.988566, 0.563000]: FL_HAA: 0.08139173686504364
[INFO] [1784656201.997580, 0.567000]: FL_HFE: 0.9192388059616089
[INFO] [1784656202.003565, 0.574000]: FL_KFE: -2.054197839832306
[INFO] [1784656202.011679, 0.577000]: FR_HAA: 0.31210458278656006
[INFO] [1784656202.018000, 0.581000]: FR_HFE: 1.0320352913856508
[INFO] [1784656202.028888, 0.588000]: FR_KFE: -2.235709003543854
[INFO] [1784656202.035523, 0.594000]: HL_HAA: -0.12277670204639435
[INFO] [1784656202.045786, 0.600000]: HL_HFE: -0.9868597382068635
[INFO] [1784656202.054590, 0.606000]: HL_KFE: 2.9108592281341554
[INFO] [1784656202.065819, 0.613000]: HL_AFE: -3.085377826118469
[INFO] [1784656202.077106, 0.621000]: HR_HAA: 0.4190150797367096
[INFO] [1784656202.084505, 0.625000]: HR_HFE: -1.1323175126075746
[INFO] [1784656202.094811, 0.631000]: HR_KFE: 2.988390446662903
[INFO] [1784656202.100516, 0.636000]: HR_AFE: -3.3398666519165037
[INFO] [1784656202.116109, 0.647000]: FL_HAA: 0.062367845326662064
[INFO] [1784656202.124302, 0.651000]: FL_HFE: 0.9762257339477539
[INFO] [1784656202.130243, 0.652000]: FL_KFE: -2.1167333642005923
[INFO] [1784656202.134325, 0.652000]: FR_HAA: 0.3292630612850189
[INFO] [1784656202.143212, 0.652000]: FR_HFE: 1.0734936000823976
[INFO] [1784656202.147377, 0.652000]: FR_KFE: -2.290460459327698
[INFO] [1784656202.155608, 0.652000]: HL_HAA: -0.13952171802520752
[INFO] [1784656202.161382, 0.652000]: HL_HFE: -0.9852401607990265
[INFO] [1784656202.168712, 0.652000]: HL_KFE: 2.9704974899291994
[INFO] [1784656202.176550, 0.652000]: HL_AFE: -3.1794036764144895
